转移性去势抵抗性前列腺癌的恩杂鲁胺耐药
zh	en
143,144	149
145,146	150
147	151
148	152
149	153
150	154
151	155
152	156
153	157
154	158
155	159
156	160
157	161
158,159	162
160	163
161	164
162	165
163	166
164	167
165	168
166	169



HIV相关癌症和疾病
zh	en
1	1
2	2
3	3
4	4
5	5
6	6
7	7
8	8
9	9
10	10
11,12	11
13,14	12
15	13
16	14
17	15
18	16
19	17
20	18
21	19
22	20
23	21
24	22
25	23
26	24
27	25
28	26
29	27
30	28
31	29
32	30
33	31
34	32
35	33
36	34
37	35
38	36
39	37
40	38
41	39
42	40
43	41
44	42
45	43
46	44
47	45
48	46
49	47
50	48
51	49
52	50
53	51
54	52
55	53
56	54
57	55
58	56
59	57
60	58
61	59
62	60
63	61
64,65	62
66	63
67	64
68	65
69	66
70	67
71	68
72	69
73	70
74	71
75	72
76	73
77	74
78	75
79	76
80	77
81	78
82	79
83	80
84	81
85	82
86	83
87	84
88,89	85
90	86
91	87
92,93	88
94	89
95	90
96	91
97	92
98	93
99	94
100	95
101	96
102	97
103	98
104	99
105	100
106	101
107	102
108	103
109	104
110	105
111	106
112	107
113	108
114	109
115	110
116	111
117	112
118	113
119	114
120	115
121	116
122	117
123	118
124	119
125	120
126	121
127	122
128	123
129	124
130	125
131	126
132	127
133	128
134	129
135	130
136	131
137	132
138	133
139	134
140	135
141	136
142	137
143	138
144	139
145	140
146	141
147	142
148	143
149	144
150	145
151	146
152	147
153	148
154	149
155	150
156	151
157	152
158	153
159	154
160	155
161	156
162	157
163	158
164	159
165	160
166	161
167	162
168	163
169	164
170	165
171	166
172	167
173	168
174	169
175	170
176	171
177	172
178	173
179	174
180	175
181	176
182	177
183	178
184	179
185	180
186	181
187	182
188	183
189	184
190	185
191	186
192	187


2017年慢性阻塞性肺疾病诊断和治疗的GOLD指南
zh	en
1	1
2	2
3	3
4	4
5	5
6	6
7	7
8	8
9	9
10	10
11	11
12	12
13	13
14	14
15	15
16	16
17	17
18	18
